tf.Tensor(52, shape=(), dtype=int64) tf.Tensor(11.124182, shape=(), dtype=float32) 0.786
tf.Tensor(53, shape=(), dtype=int64) tf.Tensor(12.658274, shape=(), dtype=float32) 0.767
tf.Tensor(54, shape=(), dtype=int64) tf.Tensor(10.068904, shape=(), dtype=float32) 0.81
tf.Tensor(55, shape=(), dtype=int64) tf.Tensor(10.544695, shape=(), dtype=float32) 0.793
tf.Tensor(56, shape=(), dtype=int64) tf.Tensor(14.2484865, shape=(), dtype=float32) 0.76
tf.Tensor(57, shape=(), dtype=int64) tf.Tensor(10.065527, shape=(), dtype=float32) 0.799
tf.Tensor(58, shape=(), dtype=int64) tf.Tensor(11.035411, shape=(), dtype=float32) 0.796
tf.Tensor(59, shape=(), dtype=int64) tf.Tensor(8.847051, shape=(), dtype=float32) 0.81
Epoch 002: Loss: 12.438, Accuracy: 79.070%
tf.Tensor(0, shape=(), dtype=int64) tf.Tensor(9.75257, shape=(), dtype=float32) 0.802
tf.Tensor(1, shape=(), dtype=int64) tf.Tensor(10.267305, shape=(), dtype=float32) 0.801
tf.Tensor(2, shape=(), dtype=int64) tf.Tensor(10.144457, shape=(), dtype=float32) 0.826
tf.Tensor(3, shape=(), dtype=int64) tf.Tensor(9.492999, shape=(), dtype=float32) 0.807
tf.Tensor(4, shape=(), dtype=int64) tf.Tensor(9.842281, shape=(), dtype=float32) 0.817
tf.Tensor(5, shape=(), dtype=int64) tf.Tensor(10.859071, shape=(), dtype=float32) 0.797
tf.Tensor(6, shape=(), dtype=int64) tf.Tensor(10.89348, shape=(), dtype=float32) 0.796
tf.Tensor(7, shape=(), dtype=int64) tf.Tensor(12.262734, shape=(), dtype=float32) 0.778
tf.Tensor(8, shape=(), dtype=int64) tf.Tensor(11.540496, shape=(), dtype=float32) 0.797
tf.Tensor(9, shape=(), dtype=int64) tf.Tensor(10.539071, shape=(), dtype=float32) 0.806
tf.Tensor(10, shape=(), dtype=int64) tf.Tensor(11.121636, shape=(), dtype=float32) 0.799
tf.Tensor(11, shape=(), dtype=int64) tf.Tensor(10.58994, shape=(), dtype=float32) 0.8
tf.Tensor(12, shape=(), dtype=int64) tf.Tensor(8.808678, shape=(), dtype=float32) 0.805
tf.Tensor(13, shape=(), dtype=int64) tf.Tensor(9.032946, shape=(), dtype=float32) 0.815
tf.Tensor(14, shape=(), dtype=int64) tf.Tensor(10.311405, shape=(), dtype=float32) 0.802
tf.Tensor(15, shape=(), dtype=int64) tf.Tensor(11.566343, shape=(), dtype=float32) 0.784
tf.Tensor(16, shape=(), dtype=int64) tf.Tensor(11.517656, shape=(), dtype=float32) 0.788
tf.Tensor(17, shape=(), dtype=int64) tf.Tensor(10.747922, shape=(), dtype=float32) 0.803
tf.Tensor(18, shape=(), dtype=int64) tf.Tensor(10.438287, shape=(), dtype=float32) 0.8
tf.Tensor(19, shape=(), dtype=int64) tf.Tensor(8.550258, shape=(), dtype=float32) 0.813
tf.Tensor(20, shape=(), dtype=int64) tf.Tensor(10.754128, shape=(), dtype=float32) 0.802
tf.Tensor(21, shape=(), dtype=int64) tf.Tensor(11.096267, shape=(), dtype=float32) 0.784
tf.Tensor(22, shape=(), dtype=int64) tf.Tensor(9.697073, shape=(), dtype=float32) 0.798
tf.Tensor(23, shape=(), dtype=int64) tf.Tensor(9.065076, shape=(), dtype=float32) 0.806
tf.Tensor(24, shape=(), dtype=int64) tf.Tensor(9.1503525, shape=(), dtype=float32) 0.804
tf.Tensor(25, shape=(), dtype=int64) tf.Tensor(9.595836, shape=(), dtype=float32) 0.822
tf.Tensor(26, shape=(), dtype=int64) tf.Tensor(8.759525, shape=(), dtype=float32) 0.811
tf.Tensor(27, shape=(), dtype=int64) tf.Tensor(9.646534, shape=(), dtype=float32) 0.79
tf.Tensor(28, shape=(), dtype=int64) tf.Tensor(10.293801, shape=(), dtype=float32) 0.799
tf.Tensor(29, shape=(), dtype=int64) tf.Tensor(9.797582, shape=(), dtype=float32) 0.798
tf.Tensor(30, shape=(), dtype=int64) tf.Tensor(9.82413, shape=(), dtype=float32) 0.79
tf.Tensor(31, shape=(), dtype=int64) tf.Tensor(9.861038, shape=(), dtype=float32) 0.807
tf.Tensor(32, shape=(), dtype=int64) tf.Tensor(10.58715, shape=(), dtype=float32) 0.812
tf.Tensor(33, shape=(), dtype=int64) tf.Tensor(9.425953, shape=(), dtype=float32) 0.797
tf.Tensor(34, shape=(), dtype=int64) tf.Tensor(7.9357176, shape=(), dtype=float32) 0.818
tf.Tensor(35, shape=(), dtype=int64) tf.Tensor(10.035391, shape=(), dtype=float32) 0.808
tf.Tensor(36, shape=(), dtype=int64) tf.Tensor(9.500383, shape=(), dtype=float32) 0.795
tf.Tensor(37, shape=(), dtype=int64) tf.Tensor(9.741245, shape=(), dtype=float32) 0.802
tf.Tensor(38, shape=(), dtype=int64) tf.Tensor(8.725777, shape=(), dtype=float32) 0.819
tf.Tensor(39, shape=(), dtype=int64) tf.Tensor(9.355722, shape=(), dtype=float32) 0.791
tf.Tensor(40, shape=(), dtype=int64) tf.Tensor(11.517969, shape=(), dtype=float32) 0.79
tf.Tensor(41, shape=(), dtype=int64) tf.Tensor(8.316235, shape=(), dtype=float32) 0.825
tf.Tensor(42, shape=(), dtype=int64) tf.Tensor(9.145889, shape=(), dtype=float32) 0.791
tf.Tensor(43, shape=(), dtype=int64) tf.Tensor(9.055634, shape=(), dtype=float32) 0.8
tf.Tensor(44, shape=(), dtype=int64) tf.Tensor(9.19589, shape=(), dtype=float32) 0.814
tf.Tensor(45, shape=(), dtype=int64) tf.Tensor(8.239113, shape=(), dtype=float32) 0.818
tf.Tensor(46, shape=(), dtype=int64) tf.Tensor(9.171539, shape=(), dtype=float32) 0.813
tf.Tensor(47, shape=(), dtype=int64) tf.Tensor(10.696137, shape=(), dtype=float32) 0.804
tf.Tensor(48, shape=(), dtype=int64) tf.Tensor(8.020561, shape=(), dtype=float32) 0.81
tf.Tensor(49, shape=(), dtype=int64) tf.Tensor(9.200045, shape=(), dtype=float32) 0.804
tf.Tensor(50, shape=(), dtype=int64) tf.Tensor(9.145168, shape=(), dtype=float32) 0.806
tf.Tensor(51, shape=(), dtype=int64) tf.Tensor(8.187884, shape=(), dtype=float32) 0.8
tf.Tensor(52, shape=(), dtype=int64) tf.Tensor(8.504638, shape=(), dtype=float32) 0.82
tf.Tensor(53, shape=(), dtype=int64) tf.Tensor(9.303306, shape=(), dtype=float32) 0.812
tf.Tensor(54, shape=(), dtype=int64) tf.Tensor(10.361848, shape=(), dtype=float32) 0.789
tf.Tensor(55, shape=(), dtype=int64) tf.Tensor(8.714612, shape=(), dtype=float32) 0.81
tf.Tensor(56, shape=(), dtype=int64) tf.Tensor(8.676767, shape=(), dtype=float32) 0.808
tf.Tensor(57, shape=(), dtype=int64) tf.Tensor(9.338778, shape=(), dtype=float32) 0.798
tf.Tensor(58, shape=(), dtype=int64) tf.Tensor(8.770707, shape=(), dtype=float32) 0.797
tf.Tensor(59, shape=(), dtype=int64) tf.Tensor(8.04672, shape=(), dtype=float32) 0.808
Epoch 003: Loss: 9.712, Accuracy: 80.343%
tf.Tensor(0, shape=(), dtype=int64) tf.Tensor(8.174465, shape=(), dtype=float32) 0.83
tf.Tensor(1, shape=(), dtype=int64) tf.Tensor(9.839014, shape=(), dtype=float32) 0.803
tf.Tensor(2, shape=(), dtype=int64) tf.Tensor(8.913315, shape=(), dtype=float32) 0.795
tf.Tensor(3, shape=(), dtype=int64) tf.Tensor(10.603601, shape=(), dtype=float32) 0.784
